Group,Character,Label,Help,HelpShort,Status,ValueType,ControlType,Params,Weight,Latitude,,,,,,,,,,,,,,,
Taxonomy,Taxon,Taxon,,,,,,,,,,,,,,,,,,,,,,,
General,GrowthForm,Growth Form,"Most grass species classified as bunchgrasses do not produce well developed rhizomes or stolons. Bunchgrasses do not have stolons or rhizomes and instead develop dense clusters of tillers. Examples include Little Bluestem, Needleandthread and Prairie Junegrass. Bunchgrasses repopulate primarily by tillering. New tillers develop in close proximity to current-year and previous-year tillers because buds primarily are located in the crown at the lower most nodes of parent tillers. Multiple generations of buds often are discernible in bunchgrasses. Density, size and orientation of buds differ among species. Sod-forming grasses have stolons or rhizomes. Rhizomes are underground stems that produce roots at nodes. Stolons are above-ground horizontal stems that root at the tip or at nodes. Growth rate: Stolons grow quickly, while rhizomes grow more slowly.",Rhizomes are underground stems that produce roots at nodes. Stolons are above-ground horizontal stems that root at the tip or at nodes. ,key,text,multi,,10,0,,,,,,,,,,,,,,,
General,PlantHeight,Plant Height,In inches. Only use on plants that are fully formed and not clearly cut/grazed. ,,key,numeric,spin,"0,84,1",7,14,,,,,,,,,,,,,,,
General,BlueGrayTint,Blue or Gray-tinted leaves?,Leave blank if not applicable. Grey could also be Silver. ,,key,text,single,,8,0,,,,,,,,,,,,,,,
General,PromWhiteMidrib,Prominent white midrib on upper leaf blade?,"Some C4 grasses have a prominent white midrib on the upper leaf surface. Don't have data on all, but have some that are definite Yes and definite no's, so if Y is selected the ""No's"" will get a neg. score value. All others no impact.",,key,text,single,,10,0,,,,,,,,,,,,,,,
General,FuzzyMonster,"Is this grass a ""fuzzy monster""?",HAS HAIRS ALL OVER!,,key,text,single,,9,0,,,,,,,,,,,,,,,
General,LeafDistinctive,Heart-shaped leaf or boat-tipped leaf tip?,"Heart shaped (loosely... deertongue, etc.) or boat tip (Poa)",,key,text,single,,9,0,,,,,,,,,,,,,,,
Structure,BudShoot,Bud-shoot,"The arrangement of leaves in the growing point or bud-shoot may be folded or rolled. The folded arrangement is usually found in flattened shoots and the rolled arrangement in round or cylindrical shoots. The arrangement of the leaves in bud-shoot may be determined by cutting the shoot across the ligule of the uppermost leaf and examining the section with a magnifier. However, in some grasses, the leaves are rolled in flattened shoots and in others, folded leaves are in round shoots. Very difficult to determine in grasses with narrow leaves (2 to 4 mm; like fine fescues, bluestems, bents). The use of this character as a point of separaration for such grasses should therefore be avoided if possible.","The bud-shoot can be either folded or rolled.  In grasses with leaves less than 4 mm wide, should be avoided as a point of separation since it is hard to tell.",key,text,single,,7,0,,,,,,,,,,,,,,,
Sheath,SheathMargins,Sheath Margins,"The sheath is the tubular basal portion of the leaf surrounding the stem or the young growing leaves. The sheath is generally split to the base or node and the margins are overlapping as illustrated below. Some grasses, notably the bromegrass and cheats (Bromus spp.), are closed to near the top. This character needs careful examination for in some cases a closed sheath is easily split by rough handling. Most grasses have margins that are thin and hyaline or paper-like while in some, one or both margins may be distinctly hairy. Split is essentially ""open""",,key,text,single,,8,0,,,,,,,,,,,,,,,
Structure,Auricles,Auricles,"Auricles are claw-like appendages which project from the collar, one from each side. When present they may be large and conspicious, as in barley, or small and slender as in the ryegrasses and quackgrass. The auricles of wheat and tall fescue generally are more or less hairy. Clasping here also includes large.",,key,ordinal,single,,10,1,,,,,,,,,,,,,,,
Ligule,LiguleType,Ligule Type,"The ligule is an upward-pointing growth found on the inside of the leaf at the junction of the blade and sheath. It may be a thin membrane or a fringe of hairs or may be absent as in barnyardgrass. A special type sometimes found is a fringe of hairs fused at base. This is essentially a fringe of relatively long hairs on a short membrane. Careful examination of this membrane will show that many or all of the hairs can be distinguished as continuing to the base but are apparently fused or cemented together. This could appear to be a short membrane that is long ciliate (see ligule margin images). To avoid confusion in this key those ligules where the membranous portion is much shorter than the fringe of hairs has been described as a ""fringe of hairs fused at base"". Where the membranous portion is much longer than the hairs , the ligule is described as ""membranous ciliate"".  
-KR Note: Not all grasses were in above key, so this might not apply to all. Tried to make as applicable as possible, but who knows.
",,key,text,single,,8,0,,,,,,,,,,,,,,,
General,LeafColor,LeafColor,"Color can be a useful indicator for some species like orchardgrass (blue-green), perennial ryegrass (dark green), etc. Only use for live, undiseased plants. However not always super reliable so use with caution.",,key,text,single,,6,0,,,,,,,,,,,,,,,
Sheath,SheathShape,SheathShape,"The sheath is the tubular basal portion of the leaf surrounding the stem or the young growing leaves. Sheaths looked at in cross-section may range from distinctly flattened, as in orchard grass, to round, as in timothy. Sometimes the midrib extends downward into the sheath and the sheath is said to be 'keeled. ",,key,ordinal,single,,10,1,,,,,,,,,,,,,,,
Sheath,SheathHairs,Sheath Hair,"Self explanatory. Only includes sheath NOT collar/ligule/leaves (though if long hairy on collar area... doesn't hurt to put 'sparse long'. If only hairy along sheath margins, select ""Sparse""",,key,ordinal,single,,8,1,,,,,,,,,,,,,,,
Sheath,SheathOther,Other Distinctive Sheath characteristics?,Not a perfect factor. Use only if neccesary.,,key,text,multi,,7,0,,,,,,,,,,,,,,,
Collar,CollarHair,Collar Hair,"The surface of the collar, viewed with the bottom of the blade upward, is generally smooth but may be rather uniformly hairy or have long or short hairs only on the margins.  The hairs on the collar margins are sometimes conspicuously long or dense. ",,key,text,multi,,7,0,,,,,,,,,,,,,,,
Collar,CollarSpan,Collar Span,"The collar is a band, generally much lighter in color, marking the division between the sheath and the blade. It may be a broad or narrow band continuous from one margin to the other or it may be divided by a darker green midrib. Broad collars, whether continuous or divided, are most generally narrow in the midrib area and may be said to resemble the two letter V's placed point to point.  Not the best factor but leaving in for close cases. ",,key,ordinal,single,,5,1,,,,,,,,,,,,,,,
Collar,CollarType,Collar Type Cont. ,"The collar is a band, generally much lighter in color, marking the division between the sheath and the blade. It may be a broad or narrow band continuous from one margin to the other or it may be divided by a darker green midrib. Broad collars, whether continuous or divided, are most generally narrow in the midrib area and may be said to resemble the two letter V's placed point to point. Not the best factor but leaving in for close cases. ",,key,text,single,,5,0,,,,,,,,,,,,,,,
Ligule,LiguleShape,Ligule Shape,The shape of the ligule only apply to membranous types. Most species vary considerably. Don't have good descriptions of all for this. Don't use as deciding trait.,,key,text,single,,5,0,,,,,,,,,,,,,,,
Ligule,LiguleMargin,Ligule Margin,"The ligule margins only apply to membranous types. Most species vary considerably but in some cases, a notched margin in timothy, are quite helpful in identification. Margins of ligules often become split or frayed in older leaves, so care should be taken to examine only young fresh blades. Don't have info for some plants so keep in mind.",,key,text,single,,5,0,,,,,,,,,,,,,,,
Ligule,LiguleLength,Ligule Length, The length of the ligule may vary from minute (0.2 mm long or less) to more than 10mm. Use the longest measurement on the plant.,,key,numeric,spin,"0.1,10,0.1",8,0.5,,,,,,,,,,,,,,,
Blade,BladeWidth,Blade Width,"Use the widest blade measurement on the plant. Unit is millimeter (mm). The blade is the upper, non-clasping part of the leaf above the collar and ligule. The shade of green is not dependable as a character in identification.  The width of the blades, although variable within a certain limit in a species or on a single plant, are of considerable value in separating many grasses.  ",,key,numeric,spin,"0,40,0.5",9,7,,,,,,,,,,,,,,,
Blade,TopBladeHairy,Top of Leaf Blade Hairy?,DO NOT CONSIDER MARGINS,,key,ordinal,single,,7,1,,,,,,,,,,,,,,,
Blade,HairyNearLeafBaseOnly,Is the leaf blade only hair near the base?,,,key,text,single,,7,,,,,,,,,,,,,,,,
Blade,TopBladeRough,Top of Leaf Blade Rough?,DO NOT CONSIDER MARGINS,,key,ordinal,single,,6,1,,,,,,,,,,,,,,,
Blade,BottomBladeHairy,Bottom of Leaf Blade Hairy?,DO NOT CONSIDER MARGINS,,key,ordinal,single,,8,1,,,,,,,,,,,,,,,
Blade,BottomBladeRough,Bottom of Leaf Blade Rough?,DO NOT CONSIDER MARGINS,,key,ordinal,single,,6,1,,,,,,,,,,,,,,,
Blade,BladeMarginHairy,Is the leaf blade hairy?,,,key,ordinal,single,,8,1,,,,,,,,,,,,,,,
Blade,BladeMarginRough,Is the leaf blade rough?,,,key,ordinal,single,,6,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
