Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort,,,,,,,,,,,,,,,,,,,,
GrowthForm,Bunch,,,,,,,,,,,,,,,,,,,,,,,,
GrowthForm,Rhizomatous,,,,,,,,,,,,,,,,,,,,,,,,
GrowthForm,Stoloniferous,,,,,,,,,,,,,,,,,,,,,,,,
PlantHeight,,,,Inches,Inches,,,,,,,,,,,,,,,,,,,,
PromWhiteMidrib,Y,,,,,,,,,,,,,,,,,,,,,,,,
BlueGrayTint,Blue,,,,,,,,,,,,,,,,,,,,,,,,
BlueGrayTint,Gray,,,,,,,,,,,,,,,,,,,,,,,,
FuzzyMonster,Y,,,,,,,,,,,,,,,,,,,,,,,,
LeafDistinctive,Heart-shaped leaves,,,,,,,,,,,,,,,,,,,,,,,,
LeafDistinctive,Boat-shaped tip,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Dark green,,Green,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Light green,,Green,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Mid green,,Green,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Blue-green,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Gray-blue,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Reddish-orange-brown,,,"Includes ""reddish-purple""",,,,,,,,,,,,,,,,,,,,,
LeafColor,Gray-green,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Yellow-green,,,,,,,,,,,,,,,,,,,,,,,,
BudShoot,Folded,,,The bud-shoot is folded.,,,,,,,,,,,,,,,,,,,,,
BudShoot,Rolled,,,The bud-shoot is rolled.,,,,,,,,,,,,,,,,,,,,,
SheathMargins,Open,,,,,,,,,,,,,,,,,,,,,,,,
SheathMargins,"Split, margins overlapping",,,,,,,,,,,,,,,,,,,,,,,,
SheathMargins,Closed to near top,,,,,,,,,,,,,,,,,,,,,,,,
SheathHairs,None,,,,,,,,,,,,,,,,,,,,,,,,
SheathHairs,Sparse short,,,,,,,,,,,,,,,,,,,,,,,,
SheathHairs,Sparse long,,,,,,,,,,,,,,,,,,,,,,,,
SheathHairs,Dense short,,,,,,,,,,,,,,,,,,,,,,,,
SheathHairs,Dense long,,,,,,,,,,,,,,,,,,,,,,,,
SheathShape,Distinctly flattened,,,,,,,,,,,,,,,,,,,,,,,,
SheathShape,Flattened,,,,,,,,,,,,,,,,,,,,,,,,
SheathShape,Slightly compressed,,,,,,,,,,,,,,,,,,,,,,,,
SheathShape,Round,,,,,,,,,,,,,,,,,,,,,,,,
SheathOther,Distinctly veined,,,"Note, others might also be but not inputted.",,,,,,,,,,,,,,,,,,,,,
SheathOther,Reddish-tinged stem,,,,,,,,,,,,,,,,,,,,,,,,
SheathOther,Rough,,,,,,,,,,,,,,,,,,,,,,,,
SheathOther,Distinctive warty bases/rough,,,,,,,,,,,,,,,,,,,,,,,,
SheathOther,Hairy only at base,,,,,,,,,,,,,,,,,,,,,,,,
SheathOther,Tuft of hair at top of sheath,,,,,,,,,,,,,,,,,,,,,,,,
Auricles,Clasping,,,,,,,,,,,,,,,,,,,,,,,,
Auricles,Small,,,,,,,,,,,,,,,,,,,,,,,,
Auricles,Absent,,,,,,,,,,,,,,,,,,,,,,,,
CollarSpan,Broad,,,,,,,,,,,,,,,,,,,,,,,,
CollarSpan,Med Broad,,,,,,,,,,,,,,,,,,,,,,,,
CollarSpan,Narrow,,,,,,,,,,,,,,,,,,,,,,,,
CollarSpan,Indistinct,,,,,,,,,,,,,,,,,,,,,,,,
CollarType,Continuous,,,,,,,,,,,,,,,,,,,,,,,,
CollarType,Divided,,,,,,,,,,,,,,,,,,,,,,,,
CollarType,Oblique,,,,,,,,,,,,,,,,,,,,,,,,
CollarHair,Hairy,,,,,,,,,,,,,,,,,,,,,,,,
CollarHair,Margins Hairy,,,,,,,,,,,,,,,,,,,,,,,,
LiguleType,Absent,,,,,,,,,,,,,,,,,,,,,,,,
LiguleType,Membranous,,,,,,,,,,,,,,,,,,,,,,,,
LiguleType,Fringe of hairs,,,,,,,,,,,,,,,,,,,,,,,,
LiguleType,Fringe of hairs fused at base,,,,,,,,,,,,,,,,,,,,,,,,
LiguleShape,Acuminate,,,,,,,,,,,,,,,,,,,,,,,,
LiguleShape,Acute,,,,,,,,,,,,,,,,,,,,,,,,
LiguleShape,Rounded,,,,,,,,,,,,,,,,,,,,,,,,
LiguleShape,Truncate,,,,,,,,,,,,,,,,,,,,,,,,
LiguleMargin,Entire,,,,,,,,,,,,,,,,,,,,,,,,
LiguleMargin,Notched,,,,,,,,,,,,,,,,,,,,,,,,
LiguleMargin,Toothed,,,,,,,,,,,,,,,,,,,,,,,,
LiguleMargin,Ciliate,,,,,,,,,,,,,,,,,,,,,,,,
LiguleLength,,,, The length of the ligule may vary from minute (0.2 mm long or less) to more than 10mm. ,,,,,,,,,,,,,,,,,,,,,
BladeWidth,,,,<3mm to >10mm.,,,,,,,,,,,,,,,,,,,,,
TopBladeHairy,None,,,,,,,,,,,,,,,,,,,,,,,,
TopBladeHairy,Sparse short,,,,,,,,,,,,,,,,,,,,,,,,
TopBladeHairy,Sparse long,,,,,,,,,,,,,,,,,,,,,,,,
TopBladeHairy,Dense short,,,,,,,,,,,,,,,,,,,,,,,,
TopBladeHairy,Dense long,,,,,,,,,,,,,,,,,,,,,,,,
TopBladeRough,Smooth,,,,,,,,,,,,,,,,,,,,,,,,
TopBladeRough,Slightly rough,,,,,,,,,,,,,,,,,,,,,,,,
TopBladeRough,Rough ,,,,,,,,,,,,,,,,,,,,,,,,
HairyNearLeafBaseOnly,Y,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeHairy,None,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeHairy,Sparse short,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeHairy,Sparse long,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeHairy,Dense short,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeHairy,Dense long,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeRough,Smooth,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeRough,Slightly rough,,,,,,,,,,,,,,,,,,,,,,,,
BottomBladeRough,Rough ,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginHairy,None,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginHairy,Sparse short,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginHairy,Sparse long,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginHairy,Dense short,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginHairy,Dense long,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginRough,Smooth,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginRough,Slightly rough,,,,,,,,,,,,,,,,,,,,,,,,
BladeMarginRough,Rough ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
